chemical_name,protein_name
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
gold sodium thiomalate,M01CB01
ximelagatran,B01AE05
ximelagatran,B01AE05
ximelagatran,B01AE05
ximelagatran,B01AE05
guanoxabenz,C02CC07
auranofin,M01CB03
bismuth subcitrate,A02BX05
bismuth subcitrate,A02BX05
tegaserod,A03AE02
ferrous fumarate,B03AA02 B03AD02
ferrous fumarate,B03AA02 B03AD02
ferrous fumarate,B03AA02 B03AD02
ferrous fumarate,B03AA02 B03AD02
ferrous fumarate,B03AA02 B03AD02
ferrous fumarate,B03AA02 B03AD02
ferrous fumarate,B03AA02 B03AD02
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
progabide,N03AG05
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
sulfasalazine,A07EC01
